true_label,pred_label,count,row_normalized
neutral,neutral,0,0.0
neutral,calm,0,0.0
neutral,happy,0,0.0
neutral,sad,0,0.0
neutral,angry,4,0.2
neutral,fearful,16,0.8
neutral,disgust,0,0.0
neutral,surprised,0,0.0
calm,neutral,0,0.0
calm,calm,0,0.0
calm,happy,0,0.0
calm,sad,0,0.0
calm,angry,20,0.5
calm,fearful,20,0.5
calm,disgust,0,0.0
calm,surprised,0,0.0
happy,neutral,0,0.0
happy,calm,0,0.0
happy,happy,0,0.0
happy,sad,0,0.0
happy,angry,14,0.35
happy,fearful,26,0.65
happy,disgust,0,0.0
happy,surprised,0,0.0
sad,neutral,0,0.0
sad,calm,0,0.0
sad,happy,0,0.0
sad,sad,0,0.0
sad,angry,16,0.4
sad,fearful,24,0.6
sad,disgust,0,0.0
sad,surprised,0,0.0
angry,neutral,0,0.0
angry,calm,0,0.0
angry,happy,0,0.0
angry,sad,0,0.0
angry,angry,29,0.725
angry,fearful,11,0.275
angry,disgust,0,0.0
angry,surprised,0,0.0
fearful,neutral,0,0.0
fearful,calm,0,0.0
fearful,happy,0,0.0
fearful,sad,0,0.0
fearful,angry,20,0.5
fearful,fearful,20,0.5
fearful,disgust,0,0.0
fearful,surprised,0,0.0
disgust,neutral,0,0.0
disgust,calm,0,0.0
disgust,happy,0,0.0
disgust,sad,0,0.0
disgust,angry,27,0.675
disgust,fearful,13,0.325
disgust,disgust,0,0.0
disgust,surprised,0,0.0
surprised,neutral,0,0.0
surprised,calm,0,0.0
surprised,happy,0,0.0
surprised,sad,0,0.0
surprised,angry,18,0.45
surprised,fearful,22,0.55
surprised,disgust,0,0.0
surprised,surprised,0,0.0
